ID,Kuvatiedosto,Tuote,Brändi,Kategoria,Alakategoria,Koko,Kokotyyppi,Väri,Kuntoluokka,Kunnon kuvaus,Hinta (EUR),Kirpputori,Kaupunki,Pöytä,Myyjätunnus,Otsikko,Hakusanat
RS-001,Arc_teryx_Beta_LT.png,Beta LT kuoritakki,Arc'teryx,Ulkoiluvaatteet,Kuoritakki,L,Miesten,Musta,Erinomainen,"Ei kulumia, teippaukset ja vedenpitävyys tallella",230,Tapanilan kirppis,Helsinki,12,M-012,Arc'teryx Beta LT kuoritakki L musta,"arcteryx, beta lt, kuoritakki, ulkoilu, miesten"
RS-002,Arc_teryx_Atom_LT_Hoody.png,Atom LT Hoody välitakki,Arc'teryx,Ulkoiluvaatteet,Välitakki,M,Miesten,Siniharmaa,Erinomainen,"Vähän käytetty, ei nyppyyntymistä",150,Tapanilan kirppis,Helsinki,12,M-012,Arc'teryx Atom LT Hoody välitakki M siniharmaa,"arcteryx, atom lt, välitakki, hupullinen, miesten"
RS-003,Barbour_takki.png,Vahakangastakki,Barbour,Päällystakit,Vahakangastakki,L,Miesten,Oliivinvihreä,Kohtalainen,"Vahapinta kulunut ja laikukas, kaipaa uudelleenvahausta",95,Tapanilan kirppis,Helsinki,12,M-012,Barbour vahakangastakki L oliivinvihreä,"barbour, vahakangastakki, wax jacket, vintage, miesten"
RS-004,Carhartt_Detroit_jacket.png,Detroit Jacket,Carhartt,Päällystakit,Työtakki,L,Miesten,Beige,Hyvä,"Kangas haalistunut tasaisesti, villavuori ehjä, helmassa pieni tahra",130,Tapanilan kirppis,Helsinki,27,M-027,Carhartt Detroit Jacket L beige villavuori,"carhartt, detroit jacket, työtakki, vintage, miesten"
RS-005,Carhartt_Detroit_jacket__2_.png,Chore Coat villavuorella,Carhartt,Päällystakit,Työtakki,XL,Miesten,Harmaanvihreä,Hyvä,"Haalistunut, napit ja vuori ehjät",120,Tapanilan kirppis,Helsinki,27,M-027,Carhartt Chore Coat XL harmaanvihreä,"carhartt, chore coat, työtakki, vintage, miesten"
RS-006,Carhartt_WIP_hoodie.png,American Script huppari,Carhartt WIP,Yläosat,Huppari,L,Unisex,Oliivinvihreä,Erinomainen,"Ei nyppyyntymistä, brodeeraus ehjä",55,Tapanilan kirppis,Helsinki,27,M-027,Carhartt WIP huppari L oliivinvihreä,"carhartt wip, huppari, hoodie, streetwear, unisex"
RS-007,Adidas_Stan_Smith_lenkkarit_40_valkoinen_vihreä.png,Stan Smith lenkkarit,Adidas,Kengät,Lenkkarit,40,Unisex,Valkoinen ja vihreä,Kohtalainen,"Nahassa taitteita, välipohja kellastunut, nauhat likaiset",30,Tapanilan kirppis,Helsinki,41,M-041,Adidas Stan Smith lenkkarit 40 valkoinen vihreä,"adidas, stan smith, lenkkarit, klassikko, unisex"
RS-008,Adidas_Superstar_lenkkarit_38_valkoinen.png,Superstar lenkkarit,Adidas,Kengät,Lenkkarit,38,Unisex,Valkoinen ja musta,Kohtalainen,"Kärkikumi naarmuuntunut, välipohja kellastunut",28,Tapanilan kirppis,Helsinki,41,M-041,Adidas Superstar lenkkarit 38 valkoinen musta,"adidas, superstar, lenkkarit, shell toe, unisex"
RS-009,Birkenstock_Arizona_sandaalit_39_ruskea.png,Arizona sandaalit,Birkenstock,Kengät,Sandaalit,39,Unisex,Ruskea,Kohtalainen,"Korkkipohjassa selvät jalkapainaumat, nahka ehjä",28,Tapanilan kirppis,Helsinki,41,M-041,Birkenstock Arizona sandaalit 39 ruskea,"birkenstock, arizona, sandaalit, korkkipohja, unisex"
RS-010,Arabia_Kilta_astia.png,Kilta kulho,Arabia,Astiat,Kulho,1 kpl,Ei kokoa,Vaaleanvihreä,Hyvä,"Lasitteessa kevyttä krakelointia, ei lohkeamia",35,Ogelin Kirppis,Helsinki,8,M-008,Arabia Kilta kulho vaaleanvihreä,"arabia, kilta, kaj franck, kulho, vintage"
